formula,prediction,density,Density Score,index
RbSbO3,26.385,0.256,-0.498,"(11666,)"
Mg(BeN)2,56.079,0.281,-0.507,"(4212,)"
AsPdSe,56.262,0.281,-0.516,"(159,)"
Fe2W,64.893,0.289,-0.524,"(2551,)"
Cs2PbCl6,20.238,0.253,-0.527,"(4658,)"
LaCu2,56.270,0.283,-0.535,"(2516,)"
HfPbO3,41.409,0.270,-0.536,"(8564,)"
Ni2Ge,64.471,0.290,-0.543,"(6397, 8356)"
TiBiRh,68.947,0.293,-0.545,"(12171,)"
BaTiS3,31.073,0.263,-0.557,"(7345,)"
Sr(ZnGe)2,53.285,0.282,-0.565,"(3387,)"
ZrGeTe,57.001,0.285,-0.566,"(963,)"
TaNiGe,65.335,0.292,-0.571,"(6576,)"
NdBPd3,58.452,0.288,-0.596,"(10126,)"
Ba(CdAs)2,43.840,0.282,-0.696,"(5454,)"
In2Se3,29.837,0.271,-0.717,"(1331,)"
Cu3P,49.656,0.289,-0.752,"(9259, 11250)"
ZnCo3C,45.532,0.289,-0.812,"(6110,)"
Sc3AlC,46.802,0.292,-0.842,"(1032,)"
CdCl2,11.854,0.265,-0.864,"(6593, 7332)"
HoCd3,31.454,0.281,-0.873,"(6185,)"
TbCd3,31.292,0.282,-0.886,"(6783,)"
V2C,43.881,0.294,-0.908,"(2527, 8038)"
Sc,21.219,0.279,-0.977,"(7306, 8817, 10379, 11015)"
