formula,prediction,density,Density Score,index
SrLi4N2,86.305,0.133,2.536,"(363,)"
LiB,128.929,0.183,2.267,"(6004, 10556, 12002)"
LiLuPt2,114.197,0.173,2.234,"(9478,)"
Ca3Au,42.036,0.121,2.113,"(6775,)"
Er2ZnRu,99.850,0.176,1.976,"(3576,)"
LiErGe,56.670,0.142,1.958,"(2286,)"
Li3Au,33.729,0.124,1.944,"(4158,)"
Rb3Mg,23.859,0.121,1.846,"(11654,)"
Li7Sn2,27.148,0.126,1.818,"(2916,)"
Sr6Sn2NO,50.487,0.150,1.724,"(3954,)"
Yb2AgSn,83.040,0.177,1.714,"(3767,)"
HoTmMg2,85.248,0.179,1.712,"(7930,)"
Yb2SbAu,83.089,0.179,1.679,"(1627,)"
Sm2AgSn,85.869,0.183,1.657,"(9664,)"
Nd2CdIn,84.317,0.182,1.643,"(1757,)"
LiTmIn2,83.986,0.183,1.627,"(1516,)"
CaSmZn2,82.083,0.182,1.620,"(7645,)"
Pr2ZnHg,78.064,0.182,1.557,"(9747,)"
Sr3MnN3,76.939,0.186,1.470,"(3867,)"
Ca3BiSb,32.939,0.151,1.447,"(10141, 12035)"
LiTmHg2,60.299,0.180,1.342,"(7505,)"
NdTmTl2,64.378,0.185,1.308,"(7828,)"
Li4UO5,69.000,0.195,1.203,"(1445,)"
LiAlPt2,123.586,0.275,0.563,"(1535,)"
TmHfRu2,127.315,0.279,0.560,"(5643,)"
MgS,119.968,0.275,0.524,"(4276, 8303)"
CuAs,131.939,0.286,0.504,"(8273,)"
Ca2MnO4,95.691,0.256,0.501,"(6432,)"
MnAlRh2,137.061,0.290,0.496,"(4134,)"
TbGaRh2,126.030,0.283,0.469,"(5903,)"
SF6,65.783,0.235,0.443,"(3504,)"
BeGaRh2,130.518,0.290,0.408,"(7510,)"
ScNbOs2,125.228,0.287,0.384,"(7695,)"
Cs2CrCl4,77.763,0.252,0.320,"(8695,)"
Al(SnO2)2,100.924,0.272,0.289,"(12274,)"
Sc2CoRu,119.275,0.288,0.279,"(1822,)"
MnSbPd2,117.842,0.290,0.229,"(8808,)"
MgSiN2,104.296,0.279,0.221,"(996, 8349, 10192)"
LiZnAu2,100.094,0.276,0.217,"(1523,)"
CaCu2O3,97.576,0.274,0.209,"(9260,)"
CeNiC2,109.618,0.286,0.180,"(6463,)"
Ga2CoS4,95.500,0.274,0.179,"(10915,)"
CrGaP2,104.801,0.283,0.158,"(12049,)"
CrPO4,85.389,0.269,0.131,"(8423,)"
Ti2GaC,114.697,0.293,0.130,"(2242,)"
Cr2FeS4,97.866,0.279,0.130,"(10667,)"
CaPd3O4,93.365,0.275,0.130,"(4907,)"
Rb2Cr(BrCl)2,63.596,0.253,0.096,"(6095,)"
U2CrN3,110.245,0.292,0.079,"(4049,)"
ThSiO4,77.977,0.270,0.005,"(5265,)"
Mn3O4,81.568,0.273,-0.005,"(430,)"
Ho2CF2,46.587,0.247,-0.055,"(5837,)"
ErB2Rh2C,92.593,0.287,-0.094,"(9234,)"
CeIr2,82.944,0.281,-0.129,"(3299,)"
Sm2Zr2O7,68.442,0.270,-0.134,"(1052,)"
Na2Hf2O5,55.206,0.262,-0.181,"(5667,)"
ZrH3,50.260,0.258,-0.184,"(11587,)"
Ho2Cr2C3,76.976,0.280,-0.187,"(5463,)"
Sc2CdAg,88.367,0.289,-0.189,"(9672,)"
Hf4N3,92.185,0.293,-0.195,"(8791,)"
DyIr3,77.062,0.281,-0.211,"(10752,)"
P2Pb2O7,61.947,0.269,-0.213,"(2620,)"
YNiSb,62.519,0.272,-0.267,"(2184,)"
Cs2RbInF6,35.548,0.252,-0.294,"(3959,)"
SmMn2O5,59.751,0.272,-0.299,"(2448,)"
DyCuSeO,56.549,0.271,-0.334,"(9616,)"
P3N5,55.863,0.271,-0.334,"(3224, 10607)"
TbNi2,65.653,0.279,-0.345,"(4745,)"
ErCdCu4,75.028,0.289,-0.372,"(2222,)"
Nd(CoSi)2,69.994,0.285,-0.386,"(4988,)"
Fe3Sn2,74.294,0.289,-0.387,"(6695,)"
Ho(SiRu)2,70.240,0.286,-0.389,"(5249,)"
Pr(CoSi)2,67.877,0.285,-0.405,"(6990,)"
K2SnCl6,25.614,0.252,-0.436,"(6638,)"
BaTe2,26.183,0.254,-0.461,"(2594,)"
YMg2,50.869,0.275,-0.486,"(8250,)"
