formula,prediction,density,Peak Score,index
SrLi4N2,86.305,0.133,2.249,"(363,)"
Ca2MnO4,95.691,0.256,1.984,"(6432,)"
LiB,128.929,0.183,1.972,"(6004, 10556, 12002)"
CuAs,131.939,0.286,1.511,"(8273,)"
Cs2CrCl4,77.763,0.252,1.411,"(8695,)"
LiAlPt2,123.586,0.275,1.277,"(1535,)"
CaCu2O3,97.576,0.274,1.234,"(9260,)"
SF6,65.783,0.235,1.211,"(3504,)"
TbGaRh2,126.030,0.283,1.126,"(5903,)"
Sm2Zr2O7,68.442,0.270,1.043,"(1052,)"
Rb2Cr(BrCl)2,63.596,0.253,1.010,"(6095,)"
K2SnCl6,25.614,0.252,0.919,"(6638,)"
MgS,119.968,0.275,0.911,"(4276, 8303)"
LiErGe,56.670,0.142,0.869,"(2286,)"
Al(SnO2)2,100.924,0.272,0.869,"(12274,)"
Ti2GaC,114.697,0.293,0.847,"(2242,)"
CeNiC2,109.618,0.286,0.743,"(6463,)"
CaPd3O4,93.365,0.275,0.730,"(4907,)"
Cs2PbCl6,20.238,0.253,0.724,"(4658,)"
RbSbO3,26.385,0.256,0.707,"(11666,)"
Cr2FeS4,97.866,0.279,0.646,"(10667,)"
LiZnAu2,100.094,0.276,0.603,"(1523,)"
Sr3MnN3,76.939,0.186,0.595,"(3867,)"
LiLuPt2,114.197,0.173,0.585,"(9478,)"
ThSiO4,77.977,0.270,0.481,"(5265,)"
YNiSb,62.519,0.272,0.475,"(2184,)"
CrPO4,85.389,0.269,0.472,"(8423,)"
ZrH3,50.260,0.258,0.464,"(11587,)"
Na2Hf2O5,55.206,0.262,0.442,"(5667,)"
Li7Sn2,27.148,0.126,0.432,"(2916,)"
Sr6Sn2NO,50.487,0.150,0.422,"(3954,)"
Li3Au,33.729,0.124,0.409,"(4158,)"
Cs2RbInF6,35.548,0.252,0.406,"(3959,)"
MnAlRh2,137.061,0.290,0.381,"(4134,)"
Li4UO5,69.000,0.195,0.360,"(1445,)"
Ho2CF2,46.587,0.247,0.331,"(5837,)"
Rb3Mg,23.859,0.121,0.313,"(11654,)"
YMg2,50.869,0.275,0.284,"(8250,)"
MgSiN2,104.296,0.279,0.278,"(996, 8349, 10192)"
CrGaP2,104.801,0.283,0.226,"(12049,)"
LiTmIn2,83.986,0.183,0.223,"(1516,)"
BeGaRh2,130.518,0.290,0.145,"(7510,)"
Yb2SbAu,83.089,0.179,0.137,"(1627,)"
Ga2CoS4,95.500,0.274,0.136,"(10915,)"
Yb2AgSn,83.040,0.177,0.135,"(3767,)"
BaTe2,26.183,0.254,0.096,"(2594,)"
Sr(ZnGe)2,53.285,0.282,0.086,"(3387,)"
MnSbPd2,117.842,0.290,0.030,"(8808,)"
U2CrN3,110.245,0.292,0.022,"(4049,)"
P2Pb2O7,61.947,0.269,0.019,"(2620,)"
HoTmMg2,85.248,0.179,-0.019,"(7930,)"
ScNbOs2,125.228,0.287,-0.105,"(7695,)"
Nd(CoSi)2,69.994,0.285,-0.148,"(4988,)"
Ca3Au,42.036,0.121,-0.167,"(6775,)"
Ho2Cr2C3,76.976,0.280,-0.190,"(5463,)"
ErCdCu4,75.028,0.289,-0.216,"(2222,)"
Hf4N3,92.185,0.293,-0.221,"(8791,)"
Pr(CoSi)2,67.877,0.285,-0.225,"(6990,)"
CaSmZn2,82.083,0.182,-0.241,"(7645,)"
ErB2Rh2C,92.593,0.287,-0.265,"(9234,)"
Nd2CdIn,84.317,0.182,-0.344,"(1757,)"
Er2ZnRu,99.850,0.176,-0.405,"(3576,)"
LaCu2,56.270,0.283,-0.408,"(2516,)"
BaTiS3,31.073,0.263,-0.409,"(7345,)"
Sc2CoRu,119.275,0.288,-0.419,"(1822,)"
TbNi2,65.653,0.279,-0.431,"(4745,)"
Sm2AgSn,85.869,0.183,-0.444,"(9664,)"
Ca3BiSb,32.939,0.151,-0.461,"(10141, 12035)"
TmHfRu2,127.315,0.279,-0.473,"(5643,)"
ZrGeTe,57.001,0.285,-0.484,"(963,)"
Ho(SiRu)2,70.240,0.286,-0.496,"(5249,)"
Fe3Sn2,74.294,0.289,-0.499,"(6695,)"
Mn3O4,81.568,0.273,-0.514,"(430,)"
Pr2ZnHg,78.064,0.182,-0.516,"(9747,)"
AsPdSe,56.262,0.281,-0.518,"(159,)"
Ba(CdAs)2,43.840,0.282,-0.542,"(5454,)"
P3N5,55.863,0.271,-0.610,"(3224, 10607)"
NdTmTl2,64.378,0.185,-0.778,"(7828,)"
SmMn2O5,59.751,0.272,-0.830,"(2448,)"
LiTmHg2,60.299,0.180,-0.869,"(7505,)"
DyCuSeO,56.549,0.271,-0.986,"(9616,)"
Ni2Ge,64.471,0.290,-1.031,"(6397, 8356)"
DyIr3,77.062,0.281,-1.149,"(10752,)"
HoCd3,31.454,0.281,-1.239,"(6185,)"
TbCd3,31.292,0.282,-1.245,"(6783,)"
TiBiRh,68.947,0.293,-1.280,"(12171,)"
NdBPd3,58.452,0.288,-1.356,"(10126,)"
CeIr2,82.944,0.281,-1.417,"(3299,)"
V2C,43.881,0.294,-1.434,"(2527, 8038)"
Mg(BeN)2,56.079,0.281,-1.476,"(4212,)"
TaNiGe,65.335,0.292,-1.480,"(6576,)"
Sc3AlC,46.802,0.292,-1.556,"(1032,)"
Sc2CdAg,88.367,0.289,-1.588,"(9672,)"
HfPbO3,41.409,0.270,-1.607,"(8564,)"
CdCl2,11.854,0.265,-1.708,"(6593, 7332)"
Cu3P,49.656,0.289,-1.756,"(9259, 11250)"
In2Se3,29.837,0.271,-1.911,"(1331,)"
Fe2W,64.893,0.289,-1.963,"(2551,)"
ZnCo3C,45.532,0.289,-2.081,"(6110,)"
Sc,21.219,0.279,-3.473,"(7306, 8817, 10379, 11015)"
