ASV_P	Taxa	ERR2139368	ERR2139369	ERR2139370	ERR2139371	ERR2139372	ERR2139373	ERR2139374	ERR2139375	ERR2139376	ERR2139377	ERR2139378	ERR2139379
ASV_P_18	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	2785.0	1178.0	0.0	1028.0	0.0	0.0	2174.0	598.0	0.0	2285.0	0.0	0.0
ASV_P_19	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	315.0	153.0	1986.0	755.0	326.0	1301.0	501.0	393.0	696.0	1391.0	1046.0	720.0
ASV_P_20	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	738.0	548.0	505.0	389.0	856.0	360.0	271.0	2143.0	1355.0	306.0	1869.0	184.0
ASV_P_21	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	843.0	312.0	0.0	849.0	0.0	0.0	3161.0	705.0	126.0	2949.0	420.0	133.0
ASV_P_22	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	279.0	2654.0	546.0	1585.0	814.0	850.0	126.0	320.0	204.0	258.0	1185.0	655.0
ASV_P_23	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	355.0	269.0	479.0	2051.0	0.0	422.0	542.0	568.0	854.0	1568.0	254.0	998.0
ASV_P_24	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	339.0	515.0	1874.0	539.0	1842.0	197.0	119.0	1759.0	218.0	635.0	256.0	0.0
ASV_P_25	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	2668.0	267.0	0.0	509.0	0.0	0.0	1953.0	582.0	0.0	1918.0	0.0	0.0
ASV_P_26	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	1676.0	1695.0	378.0	226.0	457.0	245.0	160.0	256.0	211.0	497.0	284.0	682.0
ASV_P_27	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	1347.0	348.0	1537.0	319.0	1345.0	165.0	92.0	288.0	221.0	527.0	160.0	0.0
ASV_P_28	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	230.0	117.0	1618.0	436.0	262.0	903.0	297.0	396.0	499.0	1126.0	202.0	263.0
ASV_P_29	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	470.0	189.0	0.0	519.0	290.0	0.0	1818.0	625.0	0.0	2046.0	0.0	0.0
ASV_P_30	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	224.0	349.0	268.0	1182.0	358.0	632.0	90.0	1319.0	169.0	142.0	140.0	0.0
ASV_P_31	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	1884.0	1106.0	0.0	0.0	0.0	0.0	267.0	0.0	0.0	1145.0	0.0	0.0
ASV_P_32	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	215.0	357.0	265.0	1322.0	349.0	625.0	0.0	242.0	103.0	90.0	737.0	0.0
ASV_P_33	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	1887.0	260.0	0.0	83.0	0.0	0.0	356.0	0.0	0.0	348.0	0.0	385.0
ASV_P_34	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_organism	0.0	17.0	0.0	3051.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_35	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	181.0	406.0	189.0	0.0	221.0	514.0	86.0	949.0	100.0	0.0	133.0	0.0
ASV_P_36	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	185.0	259.0	218.0	212.0	186.0	81.0	64.0	285.0	628.0	0.0	608.0	0.0
ASV_P_37	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_hansenii666666666666666	247.0	135.0	0.0	1049.0	0.0	0.0	153.0	0.0	0.0	1054.0	0.0	0.0
ASV_P_38	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_sp.666666666666666	0.0	0.0	0.0	1879.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_39	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	894.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_40	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	868.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_41	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	803.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_42	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	758.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_43	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	587.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_44	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	548.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_45	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_46	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_47	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_bacterium666666666666666	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_48	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_scotoductus666666666666666	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_49	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_50	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	105.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0
ASV_P_51	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_bacterium666666666666666	0.0	0.0	0.0	296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_52	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	283.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_53	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	0.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_54	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_scotoductus666666666666666	0.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_55	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	265.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_56	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_57	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_58	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_59	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_bacterium666666666666666	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_60	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_bacterium666666666666666	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_61	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_62	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_63	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_64	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_bacterium666666666666666	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_65	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_66	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_67	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0
ASV_P_68	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_69	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0
ASV_P_70	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	0.0
ASV_P_71	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_72	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0
ASV_P_73	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;uncultured_bacterium666666666666666	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_74	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae;Paludibaculum;uncultured_bacterium	0.0	0.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_75	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;uncultured_bacterium666666666666666	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_76	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae;Paludibaculum;uncultured_bacterium	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_77	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0
ASV_P_78	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Vulcaniibacterium;uncultured_bacterium666666666666666	0.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_79	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0
ASV_P_80	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Vulcaniibacterium;uncultured_bacterium666666666666666	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_81	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_82	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_83	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0
ASV_P_84	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0
ASV_P_85	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0
ASV_P_86	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0
ASV_P_87	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0
ASV_P_88	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0
ASV_P_89	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella666666666666666	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_90	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_sp.666666666666666	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_91	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_92	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0
ASV_P_93	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas_vesicularis666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0
ASV_P_94	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas_vesicularis666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0
ASV_P_95	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_96	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0
ASV_P_97	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;Anoxybacillus_flavithermus666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
ASV_P_98	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium_sp.666666666666666	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_99	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_100	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_scotoductus666666666666666	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_101	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0
ASV_P_102	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_103	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0
ASV_P_104	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_105	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_106	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium_sp.666666666666666	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_107	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_scotoductus666666666666666	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_108	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_109	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Vulcaniibacterium;uncultured_bacterium	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_110	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0
ASV_P_111	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0
ASV_P_112	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0
ASV_P_113	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_114	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0
ASV_P_115	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0
ASV_P_116	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
