ASV_P	Taxa	ERR2139368	ERR2139369	ERR2139370	ERR2139371	ERR2139372	ERR2139373	ERR2139374	ERR2139375	ERR2139376	ERR2139377	ERR2139378	ERR2139379
ASV_P_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	3372.0	225.0	558.0	1405.0	256.0	3022.0	5302.0	3629.0	5569.0	3376.0	3690.0	4762.0
ASV_P_2	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	2373.0	705.0	530.0	3661.0	180.0	2229.0	3582.0	3670.0	4164.0	2559.0	2954.0	3090.0
ASV_P_3	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	2364.0	804.0	572.0	596.0	621.0	2741.0	4037.0	3156.0	4136.0	2842.0	3418.0	4230.0
ASV_P_4	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	2231.0	657.0	1954.0	4031.0	762.0	1799.0	743.0	848.0	3475.0	2142.0	2181.0	2290.0
ASV_P_5	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	1997.0	919.0	2215.0	2580.0	145.0	1348.0	2551.0	2482.0	3393.0	626.0	281.0	483.0
ASV_P_6	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	2162.0	662.0	1672.0	2657.0	2793.0	1020.0	202.0	2541.0	327.0	988.0	2395.0	113.0
ASV_P_7	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	3071.0	1981.0	2482.0	383.0	3595.0	1450.0	286.0	569.0	266.0	384.0	1781.0	568.0
ASV_P_8	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	2183.0	548.0	446.0	3100.0	1590.0	289.0	905.0	2600.0	1178.0	945.0	1971.0	282.0
ASV_P_9	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	709.0	859.0	2782.0	456.0	680.0	941.0	1142.0	733.0	1466.0	867.0	1183.0	1482.0
ASV_P_10	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	1477.0	196.0	1426.0	540.0	312.0	1026.0	2237.0	437.0	2284.0	1105.0	340.0	1866.0
ASV_P_11	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	305.0	1201.0	1834.0	511.0	192.0	1541.0	472.0	407.0	3084.0	1524.0	467.0	1648.0
ASV_P_12	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	363.0	2017.0	1827.0	1423.0	840.0	1154.0	937.0	2245.0	234.0	364.0	721.0	154.0
ASV_P_13	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	458.0	633.0	1490.0	96.0	94.0	543.0	2460.0	357.0	2468.0	387.0	862.0	2186.0
ASV_P_14	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	1476.0	165.0	350.0	749.0	97.0	1232.0	1815.0	337.0	2021.0	1021.0	470.0	1591.0
ASV_P_15	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	509.0	623.0	525.0	500.0	3073.0	407.0	251.0	617.0	973.0	331.0	2694.0	681.0
ASV_P_16	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus666666666666666	1597.0	1007.0	663.0	2030.0	294.0	1859.0	521.0	469.0	915.0	522.0	471.0	642.0
ASV_P_17	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_rhaeticus	569.0	2185.0	1696.0	1016.0	2135.0	944.0	226.0	561.0	297.0	252.0	707.0	123.0
