GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]
141020A	07:48:39	615873	225.054	55.328	1.7	15.55	4.6
141017A	18:25:28	615672	93.601	-58.596	2.1	55.7	31
141015A	09:12:59	615399	87.535	18.370	2.2	11.0	1.6
141005A	05:13:06	614415	291.103	36.098	1.7	4.34	11
141004A	23:20:54	614390	76.721	12.828	1.0	3.92	6.7
140930B	19:41:42	614094	6.360	24.298	1.6	0.84	4.2
140927A	05:15:11	613775	291.802	-65.400	2.2	6.26	2.7
140919A	15:15:15	613160	221.540	-32.153	1.5	151.3	59
140916A	10:43:47	612804	40.384	-39.688	2.4	80.1	17
140909A	06:56:51	Ground Analysis|20417	193.638	63.494	n/a	n/a	n/a
140907A	16:07:08	611933	48.133	46.596	1.4	79.2	43
140903A	15:00:30	611599	238.021	27.608	1.0	0.30	1.4
140901B	06:17:24	611389|Ground Analysis|20416	112.184	-29.209	2.0	10	9.5
140828A	06:54:14	610953	142.029	14.569	1.3	18.8	13
140824A	08:40:28	610501	206.627	33.285	1.7	3.09	1.9
140818B	18:44:16	609885	271.168	-1.354	2.1	18.1	5.4
140818A	05:31:28	MAXI	199.554	6.888	n/a	n/a	n/a
140817A	07:02:01	609736	127.244	58.191	1.0	244	46
140730A	19:43:51	607742	56.350	-66.580	2.1	41.3	2.8
140719B	20:49:35.68	605700	39.731	-2.384	1.7	53.0	13
140719A	05:53:55.2	605612	171.571	-50.115	2.4	48	4.3
140716A	10:27:57.3	604792|Ground Analysis|20390	108.133	-60.150	1.5	104	59
140713A	18:43:45	604232	281.141	59.623	1.2	5.30	3.7
140710A	10:16:40	603954	41.088	35.499	1.8	3.52	2.3
140709B	15:15:45	603866	146.040	63.536	1.1	155.0	42
140709A	01:13:41	603810	304.666	51.222	1.0	98.6	53
140706A	19:33:33	603587	49.269	-38.058	1.1	48.3	20
140703A	00:37:17	603243	13.010	45.102	1.6	67.1	39
140629A	14:17:30	602884	249.017	41.897	1.8	42.0	24
140628A	13:35:37	602803	40.672	-0.378	1.0	10.5	13
140626A	00:33:01	602604	77.163	-82.625	1.5	16.4	3.6
140622A	09:36:04	602278	317.153	-14.412	2.5	0.13	0.27
140619A	11:38:35	602080	27.096	-39.249	1.8	233.9	210
140614C	20:06:56	Ground Analysis	147.423	71.945	3	n/a	1.6
140614B	06:38:11	601662	322.636	14.895	2.1	49.8	5.5
140614A	01:04:59	601646	231.171	-79.110	2.4	720	13
140611A	03:51:04	Ground Analysis|20385	349.939	-40.111	4	1.9	n/a
140610A	16:31:29	601259	286.261	3.899	1.0	n/a	n/a
140607A	17:13:31	601051	86.373	18.904	1.9	109.9	22
140606A	10:58:13	600951	201.799	37.599	2.4	0.34	0.51
140529A	09:28:06	Ground Analysis|20383	228.810	-41.042	1.2	4.5	22
140521A	17:34:18	599546	320.177	67.587	1.1	9.88	9.5
140518A	09:17:46	599287	227.231	42.396	1.8	60.5	10
140516A	20:30:54	599188	252.972	39.958	2.6	0.19	0.23
140515A	09:12:36	599037	186.071	15.099	1.2	23.4	5.9
140512A	19:31:49	598819	289.366	-15.087	1.1	154.8	140
140509A	02:22:13	598497	46.564	-62.662	1.9	23.20	12
140506A	21:07:36	598284	276.806	-55.556	1.6	111.1	28
140502A	08:30:20	597841	319.172	48.975	1.2	16.9	6.7
140430A	20:33:36	597722	102.942	23.033	1.0	173.6	11
140428A	22:40:50	597519	194.365	28.331	2.2	17.42	3.4
140423A	08:31:53	596901	197.276	49.838	1.0	134	94
140419A	04:06:51	596426	127.001	46.234	1.0	94.7	160
140414A	06:06:29	Ground Analysis|20375	195.310	56.902	4	0.7	1.22
140413A	00:09:40	595616	65.439	-51.188	1.3	139.6	94
140412A	22:20:49	595608	145.032	-65.826	1.7	39.6	7.2
140408A	13:15:54	595141	290.723	-12.585	1.9	4.00	3.1
140402A	00:10:06	594308	207.592	5.971	2.8	0.031	0.38
140331A	05:49:48	594081	134.860	2.755	3.2	209	6.7
140323A	10:23:11	592916	356.975	-79.916	1.0	104.9	160
140320A	02:12:45	592544	281.843	-11.188	2.4	0.45	0.49
140318A	00:09:07	592204	184.049	20.225	2.1	8.43	2.9
140311B	21:14:29	591392	252.333	52.733	1.2	70	n/a
140311A	21:05:16	591390	209.293	0.607	3.8	71.4	23
140305A	15:00:20	590446	344.497	15.448	1.7	13.7	4.7
140304A	13:22:31	590206	30.653	33.480	1.0	15.6	12
140302A	08:12:58	589685	253.862	-12.875	1.1	87.5	27
140301A	15:24:49	589590	69.521	-34.249	1.9	31.0	4.4
140226A	10:18:00	iPTF	221.492	14.993	1.0	n/a	n/a
140215A	04:07:10	586680	104.129	41.787	1.1	84.2	78
140213A	19:21:37	586569	105.166	-73.136	1.0	60.0	120
140211A	12:23:03	586289	124.233	20.237	1.4	89.4	18
140209A	07:30:57	586071	81.328	32.488	1.0	21.3	41
140206A	07:17:20	585834	145.321	66.762	1.0	93.6	160
140129B	12:51:09	585149	326.764	26.215	2.1	1.36	0.71
140129A	03:23:59	585128	37.851	-1.594	2.2	2.99	1.3
140118A	01:32:02	584136	330.999	-17.937	1.5	84.15	26
140114A	11:57:40	583861	188.498	27.942	1.9	139.7	32
140108A	17:18:42	583338	325.129	58.749	1.0	94	70
140103A	00:30:43	582773	232.114	37.752	1.7	17.3	6.0
140102A	21:17:37	582760	211.915	1.332	1.0	65	77
131229A	06:39:24	582374	85.236	-4.401	1.0	13.86	66
131227A	04:44:51	582184	67.369	28.879	1.3	18.0	8.4
131226A	05:47:39	582123	301.309	-64.943	1.0	7.20	40
131224B	03:25:08	Ground Analysis	163.722	-14.177	3	~9	2.6
131205A	09:18:38	580267	131.573	-60.181	2.8	37.5	2.9
131202A	15:12:09	579982	344.005	-21.650	2.6	30.4	6.1
131128A	15:06:24	579683	355.305	31.293	1.6	3.00	3.2
131127A	10:11:35	579571	332.714	36.596	1.8	92.1	19
131120A	14:37:56	578227	278.937	-12.026	3.0	131	5.7
131117A	00:34:04	577968	332.354	-31.761	1.8	11.00	2.5
131110A	11:53:11	Ground Analysis|20327	69.268	-17.259	0.8	~100	35.3
131105A	02:04:44	576738	70.973	-63.005	1.5	112.3	71
131103A	22:07:25	576562	348.948	-44.645	1.8	17.3	8.2
131031A	11:33:31	576277|Ground Analysis|20317	29.618	-1.603	4	n/a	n/a
131030A	20:56:18	576238	345.074	-5.380	1.0	41.1	290
131024B	21:35:31	575754	144.464	44.284	2.1	64.00	12
131024A	12:26:20	575707	290.544	-64.599	2.0	112.00	12
131018A	12:47:48	574935	98.473	-19.897	1.3	73.22	11
131004A	21:41:03	573190	296.108	-2.952	1.1	1.54	2.8
131002B	10:54:28	572742	75.135	-75.701	1.2	39.10	6.2
131002A	06:54:21	572721	253.103	82.036	3.9	55.59	6.4
131001A	05:37:24	Ground Analysis|20297	8.304	25.557	1.6	4.9	4.9
130929A	09:36:33	572308	135.028	-47.554	1.6	11.10	6.9
130925A	04:11:24	571830	41.186	-26.146	1.0	n/a	410
130919A	11:07:24	571271	207.281	-10.353	1.6	97.3	14
130913A	00:28:21	570531|Ground Analysis	341.960	1.294	3.3	n/a	1.3
130912A	08:34:57	570465	47.606	13.999	1.6	0.28	1.7
130907A	21:41:13	569992	215.898	45.602	1.0	>360	1400
130831B	13:48:19	568855	192.454	-29.187	2.1	37.8	14
130831A	13:04:16	568849	358.635	29.431	1.0	32.5	65
130829A	05:43:33	568417	182.426	46.520	1.3	42.56	12
130822A	15:54:17	567163	27.940	-3.219	3	n/a	n/a
130816B	04:53:38	566561	170.049	-57.527	1.6	10.00	2.7
130816A	01:46:55	566545	197.093	-58.996	2.6	29.97	4.3
130812A	22:22:52	566228	92.387	-13.285	1.0	7.6	5.9
130807A	10:25:43	565651	269.801	-27.616	1.7	n/a	12
130806A	02:51:33	565562	35.907	67.525	1.6	6.1	1.7
130803A	10:02:52	565263	220.256	-2.499	1.1	44	15
130727A	16:45:19.52	564342	330.790	-65.540	1.0	13.57	38
130725B	17:39:28	564028	214.233	-11.124	1.2	10.0	3.9
130725A	11:37:11	563980	230.060	0.624	2.5	101.8	9.7
130722A	08:19:19	563213	260.670	-2.979	3	n/a	n/a
130719A	05:47:49	562625	89.038	-11.591	1.9	177.7	23
130716A	10:36:53	561974	179.581	63.057	2.5	n/a	n/a
130708A	11:43:03.7	560515|Ground Analysis|20286	17.474	0.003	2.4	9	78
130701A	04:17:43	559482	357.224	36.100	1.0	4.38	44
130627B	12:00:50	559139	181.914	-55.706	1.8	28.6	6.1
130627A	08:55:03	559132	184.415	-37.114	2.8	30.8	9.1
130626A	10:51:03	559075	273.128	-9.525	1.8	0.16	0.52
130625A	07:00:39	558982	343.336	82.171	1.3	38.1	18
130623A	11:42:44.7	Ground Analysis|20284	20.723	-77.784	4	15	5.4
130615A	09:44:45	558271	274.963	-68.161	2.9	304	21
130612A	03:22:22	557976	259.771	16.729	2.0	4.0	2.3
130610A	03:12:13	557845	224.414	28.187	2.4	46.4	25
130609B	21:38:40	557828	53.776	-40.168	1.0	210.6	160
130609A	03:05:08	557782	152.680	24.124	1.2	7.0	5.7
130608A	23:14:21	557771	24.597	41.492	2.5	151.38	9.0
130606A	21:04:39	557589	249.390	29.796	2.0	276.58	29
130605A	23:41:42	557508	134.536	-33.477	1.7	12.6	26
130604A	06:54:26	557354	250.166	68.225	1.1	37.7	14
130603B	15:49:14	557310	172.222	17.063	1.0	0.18	6.3
130603A	05:59:32	557274	86.859	82.910	1.6	76	19
130529A	11:15:25	556930	24.274	-64.143	1.9	128	14
130528A	16:41:23	556870	139.405	87.300	1.0	59.4	51
130527A	14:21:30	556753	309.282	-24.726	1.1	44	120
130521A	22:49:16	556344	87.568	14.470	1.6	11.0	4.2
130518B	10:50:38	556105|Ground Analysis|20282	321.555	-20.148	1.8	n/a	8.0
130518A	13:55:07.4	556113	355.671	47.478	2.9	n/a	n/a
130515A	01:21:17	555880	283.436	-54.283	1.6	0.29	1.5
130514A	07:13:41	555821	296.278	-7.974	1.0	204	91
130511A	11:30:47	555600	196.654	18.709	2.3	5.43	2.2
130508A	17:08:53	555413	305.351	34.966	2.2	42	6.6
130505A	08:22:28	555163	137.060	17.485	1.5	88	210
130504A	02:05:34	555096	272.459	-16.320	1.7	50	10
130502A	17:50:30	554996	138.579	-0.134	1.8	3.0	3.8
130427B	13:20:41	554635	314.900	-22.548	1.4	27.0	15
130427A	07:47:57	554620	173.150	27.706	1.0	162.83	3100
130420B	12:56:31	553996	183.095	54.376	1.1	10.2	6.0
130420A	07:28:29	553977	196.118	59.421	1.0	123.5	71
130419A	13:30:29	553918	355.278	9.900	2.6	75.7	7.8
130418A	19:00:53	553847	149.045	13.674	1.9	>300	18
130408A	21:51:38	553132	134.398	-32.363	2.2	28	23
130327A	01:47:34	552063	91.984	55.732	2.2	9.0	2.3
130315A	12:45:32	551126	157.541	-51.794	1.3	233.4	49
130313A	16:08:11	550906	236.438	-0.355	2.6	0.26	0.31
130306A	23:51:01	550457	279.475	-11.682	1.6	n/a	n/a
130305A	11:39:16	550329|Ground Analysis|20234	116.774	52.037	1.8	n/a	48
130216B	18:58:12	548918|Ground Analysis|20233	58.866	2.036	1.5	3.7	13
130216A	22:15:24	548927	67.901	14.670	1.0	6.5	30
130215A	01:31:30	548760	43.486	13.387	1.5	65.7	54
130211A	03:36:32	548276	147.524	-42.330	2.1	25.1	6.4
130206A	19:36:28	547918	140.387	-58.193	1.9	128.0	20
130131B	19:10:08	547420	173.957	15.033	1.7	4.30	3.4
130131A	13:56:22	547407	171.091	48.064	2.1	51.6	3.1
130122A	23:44:09	546731	194.307	59.003	3.0	64	7.4
130102A	18:10:53	544784	311.435	49.838	2.3	77.5	7.2
121229A	05:00:21	544347	190.095	-50.588	2.8	n/a	4.6
121226A	19:09:43	544027	168.620	-30.413	2.0	1.00	1.4
121217A	07:17:47	542441	153.708	-62.354	1.0	778	62
121212A	06:56:13	541371	177.787	78.052	2.1	6.8	1.2
121211A	13:47:02	541200	195.575	30.173	4.9	182	13
121209A	21:59:11	540964	326.800	-8.232	1.7	42.7	29
121202A	04:20:05	540255	256.790	23.942	1.2	20.1	12
121201A	12:25:42	540178	13.473	-42.929	2.3	85	7.8
121128A	05:05:37	539866	300.589	54.301	1.0	23.3	69
121125A	08:32:27	539563	228.519	55.318	1.2	52.2	47
121123A	10:02:41	539358	307.334	-11.873	1.8	317	150
121117A	08:50:56	538696	31.617	7.432	1.1	30	14
121108A	17:47:39	537921	83.216	54.520	2.2	89	9.6
121102A	02:27:02	537266	270.896	-16.951	1.0	24.7	19
121031A	22:50:30	537195	170.772	-3.513	1.0	226	78
121028A	05:04:31	536897	271.903	-2.298	1.5	3.8	3.7
121027A	07:32:29	536831	63.598	-58.839	1.0	62.6	20
121025A	07:46:30	MAXI	248.75	27.73	n/a	n/a	n/a
121024A	02:56:12	536580	70.481	-12.255	1.7	69	11
121017A	19:23:28	536172	288.820	-1.602	1.5	4.2	6.6
121014A	20:11:56	535960	166.645	-29.105	2.0	80.0	11
121011A	11:15:30	535764	260.204	41.123	1.8	75.6	27
121001A	18:23:02	535026	276.029	-5.667	2.4	147	17
120927A	22:40:46	534815	136.606	0.420	1.0	43	26
120923A	05:16:06	534402	303.781	6.255	2.1	27.2	3.2
120922A	22:30:28	534394	234.758	-20.181	1.2	173	62
120918A	11:16:10	534015	181.042	-32.762	1.1	25.1	37
120913B	23:55:58	533613	213.660	-14.508	1.0	126	111
120913A	20:18:21	533568	146.400	26.959	1.2	30.1	8.7
120911A	07:08:33	533268	357.966	63.090	1.6	17.8	11
120909A	01:42:03	533060	275.735	-59.432	1.2	n/a	68
120907A	00:24:23	532871	74.736	-9.323	2.0	16.9	6.7
120819A	13:10:14	531428	235.887	-7.304	2.9	71	14
120817B	04:02:29	531259|Ground Analysis|20226	8.310	-26.428	2.8	n/a	1.7
120817A	06:49:42	531267	250.692	-38.377	1.5	28.2	6.9
120816A	19:18:34	531223	282.133	-6.981	2.5	7.6	4.3
120815A	02:13:58	531003	273.976	-52.125	1.8	9.7	4.9
120811C	15:34:52	530689	199.690	62.297	1.0	26.8	30
120811A	02:35:18	530581	257.184	-22.735	2.6	166	11
120807A	07:09:37	530267	241.273	-47.455	2.1	20.0	2.9
120805A	21:28:09	530031	216.536	5.853	2.2	48.00	8.2
120804A	00:54:14	529686	233.951	-28.768	1.0	0.81	8.8
120803B	11:06:06	529606	314.223	53.298	1.0	37.5	25
120803A	07:22:16	529582	269.531	-6.733	2.5	10.0	3.0
120802A	08:00:51	529486	44.833	13.762	1.1	50	19
120729A	10:56:14	529095	13.078	49.936	1.0	71.5	24
120728A	22:25:11	529021	137.085	-54.437	1.4	22.06	24
120724A	06:39:02	528443	245.193	3.535	2.1	72.8	6.8
120722A	12:53:26	528195	230.489	13.249	3.4	42.4	12
120714B	21:18:46.57	526642	355.412	-46.196	2.6	159	12
120714A	07:46:46	526593	167.975	-30.625	1.6	16.2	8.2
120712A	13:42:27	526351	169.598	-20.051	1.0	14.7	18
120711B	03:11:02.58	526270	331.710	59.996	3.2	60	5.6
120703A	17:25:22	525671	339.353	-29.726	1.0	25.2	35
120701A	n/a	525477	80.338	-58.531	1.3	13.8	14
120630A	n/a	525451	352.300	42.495	2.7	0.6	0.61
120624B	22:19:51	525068	170.886	8.933	1.0	>192	283
120612A	02:05:19	524128	126.723	-17.598	1.7	90	13
120521C	23:22:07	522656	214.288	42.144	1.0	26.7	11
120521B	09:07:48	522586	197.016	-52.742	1.6	31.4	15
120521A	05:59:42	522578	148.692	-49.422	1.7	0.45	0.78
120514A	01:12:49	522197	283.002	-4.258	1.1	164.4	28
120422A	07:12:03	520658	136.915	13.974	2.0	5.35	2.3
120404A	12:51:02	519380	235.002	12.883	1.2	38.7	16
120403B	20:33:56	519256	54.302	-89.029	2.4	7.3	2.1
120403A	01:05:23	519211	42.458	40.489	2.3	1.25	1.0
120401A	05:24:15	519043	58.057	-17.658	2.5	n/a	9.1
120328A	03:06:19	518792	241.607	-39.322	1.8	24.2	4.7
120327A	02:55:16	518731	246.854	-29.415	1.1	62.9	36
120326A	01:20:29	518626	273.906	69.248	1.0	69.6	26
120324A	05:59:11	518507	291.081	24.140	1.1	118	101
120320A	11:56:15	518200	212.517	8.682	1.6	25.74	5.9
120312A	16:06:28	517566	251.812	23.881	2.1	14.2	5.7
120311B	15:08:10	517489	258.551	-13.068	1.3	28.2	10
120311A	05:33:38	517469	273.075	14.297	1.1	3.5	3.0
120308A	06:13:38	517234	219.123	79.674	1.3	60.6	12
120305A	19:37:30	516997	47.549	28.495	1.0	0.10	2.0
120302A	01:55:39	Ground Analysis|20214	122.426	29.642	2.3	n/a	6.6
120229A	14:35:11	516571	20.033	-35.796	1.9	0.22	0.41
120224A	04:39:56	515976	40.937	-17.779	2.4	8.13	2.4
120219A	14:30:08	515375	129.862	51.006	2.2	90.5	5.4
120218A	00:49:22	515277	319.7641	-25.4626	1.9	27.5	53
120215A	00:41:15	515015	30.057	8.790	2.3	26.5	4.0
120213A	00:27:19	514767	300.987	65.413	1.0	48.9	19
120212A	09:11:22	514709	43.086	-18.043	1.6	5.52	5.1
120211A	11:58:28	514586	87.781	-24.795	2.1	61.7	8.1
120121A	09:42:19	512164	249.363	-23.963	1.4	26.1	11
120119A	04:04:30.21	512035	120.029	-9.076	1.0	253.8	170
120118B	17:00:21	512003	124.862	-7.178	1.3	23.26	18
120116A	18:06:28	511866	16.240	33.927	1.0	41.0	29
120114A	16:20:09	511739|Ground Analysis	317.9043	57.0358	2.3	n/a	n/a
120106A	14:16:24	511235	66.129	64.050	1.3	61.6	9.7
120102A	02:15:55	510922	276.224	24.713	1.0	38.7	43
111229A	22:37:52	510736	76.561	-84.687	2.7	25.4	3.4
111228A	15:44:43	510649	150.063	18.284	1.4	101.20	85
111225A	03:50:37	510341	13.158	51.573	1.3	106.8	13
111215A	14:04:08	509717	349.582	32.440	4.2	796	45
111212A	09:23:07	509543	310.442	-68.585	1.8	n/a	14
111210A	14:37:03	509419	191.493	-7.173	1.7	2.52	1.6
111209A	07:12:08	509336	14.350	-46.799	1.0	n/a	360
111208A	08:28:11	509285|Ground Analysis|20190	290.2151	40.6686	2.2	n/a	9.8
111207A	14:16:59	Ground Analysis|20191	92.924	-39.504	n/a	3	n/a
111204A	13:37:28	509018	336.651	-31.414	2.2	48.0	4.7
111201A	14:22:45	508800|Ground Analysis|20188	190.4854	32.9935	2.1	n/a	4.6
111129A	16:18:14	508712	307.415	-52.722	2.3	7.6	1.8
111126A	18:57:42	Ground Analysis	276.057	51.461	3	0.8	0.7
111123A	18:13:21	508319	154.845	-20.639	1.1	290.0	73
111121A	16:26:24	508161	154.746	-46.670	1.1	119	22
111117A	12:13:41	507901	12.702	23.021	n/a	0.47	1.40
111109A	02:57:46	507342	118.248	-41.588	1.9	13.0	2.4
111107A	00:50:24	507185	129.487	-66.520	1.2	26.6	8.8
111103B	10:59:03	506903	265.691	1.605	1.0	167	80
111103A	10:35:13	506902	327.111	-10.532	1.1	11.6	14
111029A	09:44:40	506519	44.785	57.101	1.2	7.6	3.9
111026A	06:47:29	506291	244.256	-47.435	1.8	3.62	1.7
111022B	17:13:04	506074	108.927	49.663	2.0	79.1	9.0
111022A	16:07:04	506070	275.871	-23.666	1.0	24.7	20
111020A	06:33:49	505926	287.029	-38.031	2.1	0.40	0.65
111018A	17:26:24	505801	271.482	-3.880	2.0	36	4.0
111016A	18:37:04	505646	153.826	27.474	2.2	550	40
111008A	22:12:58	505054	60.439	-32.708	1.2	63.46	53
111005A	08:05:14	504779	223.315	-19.722	2.1	26	6.2
110928A	01:51:31	504215	257.745	36.547	2.3	26.7	6.9
110921A	13:51:20	503652	294.094	36.355	1.7	48.00	24
110915A	13:20:44	503219	310.830	-0.713	1.2	78.76	57
110827A	00:01:52	501520	164.059	53.817	2.2	8.5	1.8
110820A	17:38:27	501095	343.203	70.298	2.1	256	8.2
110818A	20:37:49	500914	317.373	-63.981	1.4	103	40
110808A	06:18:54	458918	57.322	-44.177	2.7	48	3.3
110801A	19:49:42	458521	89.415	80.958	1.1	385	47
110731A	11:09:30	458448	280.513	-28.536	1.0	38.8	60
110726A	01:30:40	458059	286.713	56.070	1.7	5.2	2.2
110719A	06:09:11	457553	24.570	34.578	1.8	41.0	18
110715A	13:13:50	457330	237.665	-46.237	1.0	13.0	118
110709B	21:32:39	456967|456969	164.668	-23.470	1.1	55.6	94
110709A	15:24:29	456939	238.895	40.918	1.0	44.7	100
110625A	21:08:28	456073	286.751	6.755	1.3	44.5	280
110610A	15:21:32	455155	308.205	74.827	1.0	46.4	49
110530A	15:31:02	454473	282.045	61.953	2.3	19.6	3.3
110521A	15:51:31.4	453788	120.132	45.818	1.8	13.8	4.4
110520A	20:28:48	453747	134.363	56.418	1.1	15.7	11
110519A	02:12:16	453628	261.638	-23.426	1.0	27.2	40
110503A	17:35:45	452685	132.799	52.211	1.0	10.0	100
110422A	15:41:55	451901	112.057	75.100	1.0	25.9	410
110420B	22:42:11	451794	320.045	-41.277	2.2	0.084	0.53
110420A	11:02:24	451757	2.164	-37.877	1.0	11.8	59
110414A	07:42:14	451343	97.876	24.349	1.6	152.0	35
110412A	07:33:21	451191	133.491	13.488	1.9	23.4	18
110411A	19:34:11	451165	291.427	67.706	1.0	80.3	33
110407A	14:06:41	450884	186.022	15.726	1.5	145	17
110402A	00:12:57	450545	197.432	61.247	1.7	60.9	34
110319B	19:34:02	Ground Analysis|20158	326.088	-56.774	1.0	14.5	10
110319A	02:16:41	449578	356.510	-66.008	1.0	19.3	14
110318B	15:27:09	449549	211.691	-51.577	1.7	4.8	2.9
110318A	13:14:19	449542	338.292	-15.278	1.0	16.0	49
110315A	23:57:04	449399	279.205	17.537	1.0	77	41
110312A	17:55:37	449074	157.500	-5.259	2.3	28.7	8.2
110305A	06:38:01	448229	260.877	-15.810	1.9	12.0	8.0
110223B	21:25:48	446677	150.340	-68.329	2.0	54.0	6.1
110223A	20:56:59	446674	345.386	87.586	2.5	7.0	1.6
110213B	14:31:48	MAXI	41.768	0.952	n/a	n/a	n/a
110213A	05:17:29	445414	42.978	49.278	1.4	48.0	59
110212A	01:09:08	445321	69.025	43.716	1.4	3.3	2.4
110210A	09:52:41	445141	13.108	7.778	3.2	233	9.6
