GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]
150831A	10:34:12	653838	221.034	-25.619	1.3	1.15	3.8
150821A	09:44:00	652847	341.913	-57.883	1.7	172.1	7.9
150819A	00:50:08	652643	42.340	9.787	2.8	52.1	4.8
150818A	11:36:32	652603	230.340	68.342	1.1	123.3	41
150817A	02:05:13	652334	249.635	-12.050	1.0	38.8	59
150811A	04:06:09	651882	291.347	-15.434	1.9	34.00	4.9
150801B	22:41:48	650977	82.961	-5.374	1.4	426	31
150728A	12:51:11	650617	292.271	33.906	2.6	0.83	0.33
150727A	19:02:02	650530	203.968	-18.320	1.0	88	37
150724A	05:46:35	650141	97.549	-19.147	1.9	280	22
150722A	09:57:53	649916	218.297	-35.196	2.8	67	6.1
150720A	14:02:09	649706	119.577	-28.281	1.5	151	5.6
150716A	07:06:43	649157	278.481	-12.978	1.1	44	15
150711A	18:23:03	648601	221.624	-35.464	1.0	64.2	43
150710B	08:05:35	Ground Analysis|20542	83.191	-46.960	1.2	15	3.5
150710A	00:28:02	648437	194.484	14.309	1.5	0.15	0.71
150626B	20:22:52	646786	187.627	66.794	1.9	48.0	10
150626A	02:12:49	646603	111.353	-37.803	1.9	144	18
150622A	10:23:43	MAXI	252.028	-52.768	n/a	n/a	n/a
150616A	22:49:19	644259	314.713	-53.403	1.2	599.5	190
150615A	04:42:27	643833	107.554	-22.466	1.8	27.6	5.5
150608A	11:46:50	MAXI	13.389	-0.213	n/a	n/a	n/a
150607A	07:55:09	642620	140.015	68.436	1.2	26.3	23
150530B	13:28:38	Ground Analysis|20522	7.496	44.290	3	n/a	1.25
150530A	11:42:18	642018	327.511	57.519	1.2	6.62	18
150527A	06:48:55	641698	288.962	4.195	1.0	112	31
150518A	21:42:14	MAXI	234.342	16.307	n/a	n/a	n/a
150513A	20:31:19	640584	49.044	-22.868	1.0	162	54
150430A	00:21:28	639433	326.481	-27.919	1.6	107.1	69
150428B	03:12:03	639278	292.661	4.114	1.3	130.9	37
150428A	01:30:40	639275	188.539	6.967	1.2	53.2	63
150424A	07:42:57	638946	152.305	-26.646	1.0	91	15
150423A	06:28:04	638808	221.601	12.264	1.9	0.22	0.63
150413A	13:54:58	637899	190.396	71.839	1.9	263.6	43
150407A	00:31:10	637342	216.603	38.541	3	n/a	n/a
150403A	21:54:16	637044	311.505	-62.706	1.0	40.90	170
150402A	00:37:46	636865|Ground Analysis|20486	173.658	40.992	2.5	14	n/a
150323C	17:05:21	636005	192.625	50.165	2.4	159.4	13
150323B	09:28:38	635929|Ground Analysis|20485	260.447	38.316	1.5	~60	n/a
150323A	02:49:14	635887	128.173	45.442	2.07	149.6	61
150318A	07:04:53	635289	324.990	-61.461	1.2	83.88	25
150317A	04:22:42	635148	138.995	55.477	1.7	23.29	6.5
150314A	04:55:16	634795	126.661	63.839	1.0	14.79	220
150309A	23:03:06	634200	277.004	86.417	1.9	242	170
150302A	05:42:36	633237	175.515	36.852	2.8	23.74	2.6
150301B	19:38:04	633180	89.159	-57.969	1.0	12.44	18
150301A	01:04:28	632995	244.281	-48.732	1.9	0.48	0.74
150222A	16:56:40	632180	198.787	-12.151	1.0	15.90	22
150213B	22:31:30	631051	253.448	34.165	1.8	181	30
150212A	10:57:19	630876	285.497	47.389	1.2	11.4	8.9
150211A	11:52:11	630714	254.846	55.390	1.0	13.6	n/a
150206A	14:30:02	630019	10.076	-63.181	1.0	83.2	139
150204A	06:31:08	Ground Analysis|20477	160.241	-64.043	1.5	12	8.0
150203A	04:09:07	629578	98.394	6.952	1.1	25.8	9.1
150202A	23:10:02	629547	39.261	-33.132	1.7	25.7	6.1
150201A	13:46:59	629302	11.820	-37.620	1.7	26.1	7.8
150120B	07:21:55	627170	39.309	8.064	2.3	24.30	5.4
150120A	02:57:46	627137	10.330	33.980	1.5	1.20	1.4
150110B	22:08:30	624606	289.374	32.529	1.2	10.6	4.9
150103A	20:02:18	623368	131.674	-48.896	2.0	49.1	8.2
150101B	15:23:00	Ground Analysis|20464	188.044	-10.956	2.5	0.018	0.23
150101A	06:28:53	623158	312.599	36.669	2.5	0.060	0.23
141229A	11:49:02	Ground Analysis|20455	n/a	n/a	n/a	7	15
141225A	23:01:07	622476	138.754	33.774	2.2	40.24	25
141221A	08:07:10	622006	198.283	8.197	1.1	36.9	21
141220A	06:02:52	621915	195.058	32.146	1.2	7.21	26
141212B	13:23:48	621234	250.866	31.749	1.0	10.5	12
141212A	12:14:01	621229	39.167	18.163	1.9	0.30	0.72
141205A	08:05:17	620534|Ground Analysis|20444	92.859	37.876	2	1.1	1.2
141130A	23:10:56	620090	222.804	47.323	1.4	62.9	28
141121A	03:50:43	619182	122.665	22.206	2.1	549.9	53
141109B	07:47:39	618032	222.453	73.141	2.6	54.2	6.3
141109A	05:49:55	618024	144.563	-0.581	3.0	200	68
141102A	12:51:40	617313|Ground Analysis	208.614	-47.100	4	2.5	n/a
141031B	14:56:45	617149	356.883	41.355	2.2	16.0	2.5
141031A	07:18:26	617110	128.632	-59.160	1.4	920	29
141026A	02:36:51	616502	44.049	26.925	1.9	146	13
141022A	01:27:42	616061	241.930	-72.152	2.2	8.72	4.8
