GRB	Time [UT]	Trigger Number	Other Observatory Detections
150831B	22:19:27	653978	Fermi (GBM)
150821A	09:44:00	652847	VLT, Fermi (GBM), MPG (2.2m), Siding Springs (1m), Konus-Wind
150817A	02:05:13	652334	HJT (1.5m), Fermi (GBM), Palomar (60")
150727A	19:02:02	650530	VLT, Fermi (GBM), HJT (1.5m), IRSF (1.4m)
150711A	18:23:03	648601	Fermi (GBM)
150607A	07:55:09	642620	Fermi (GBM), NOT, Konus-Wind, DCT (4.3m), AS-32 (0.7m)
150530A	11:42:18	642018	Fermi (GBM), Konus-Wind
150527A	06:48:55	641698	Fermi (GBM), REM (60cm), Konus-Wind
150513A	20:31:19	640584	Fermi (LAT & GBM)
150430A	00:21:28	639433	MAXI/GSC, Fermi (GBM), Konus-Wind
150403A	21:54:16	637044	Fermi (LAT & GBM), VLT, Konus-Wind, MASTER II
150323C	17:05:21	636005	Nanshan (1m), Fermi (GBM), TNT (0.8m), HJT (1.5m), Konus-Wind, Konkoly Observatory, MITSuME (50cm), Khureltogot, AZT-33IK, Nayuta (2m)
150323B	09:28:38	635929|Ground Analysis|20485	Fermi (GBM), Konus-Wind
150314A	04:55:16	634795	KAIT (0.76m), Fermi (LAT & GBM), Yerkes Observatory  (41"), NOT (2.56m), GTC (10.4m), Palomar (60"), Konus-Wind, RAPTOR, VLA @ 5 GHz
150309A	23:03:06	634200	Fermi (GBM), Konus-Wind
150301B	19:38:04	633180	MASTER II, MPG (2.2m), VLT, Fermi (GBM), Las Cumbres Observatory (1m)
150301A	01:04:28	632995	Fermi (GBM)
150204A	06:31:08	Ground Analysis|20477	Fermi (GBM)
150203A	04:09:07	629578	Fermi (GBM)
150201A	13:46:59	629302	Fermi (GBM), Konus-Wind
150120A	02:57:46	627137	Fermi (GBM)
150110B	22:08:30	624606	Fermi (GBM), AMI @ 15 GHz
150101B	15:23:00	Ground Analysis|20464	Fermi (GBM), GTC (10.4m), XMM-Newton, Gemini-South
150101A	06:28:53	623158	Fermi (GBM)
