GRB	Time [UT]	Trigger Number	Other Observatory Detections
141225A	23:01:07	622476	CAHA (1.23m), Liverpool (2m), NOT, GCT (10.4m), Nanshan (36cm), MASTER-SAAO, T60 (0.60m), Fermi (GBM), TAROT (25cm), MPG (2.2m)
141221A	08:07:10	622006	REM (60cm), LCOGT-McDonald (1m), PROMPT (14"), MPG (2.2m), Fermi (GBM), TAROT (25cm), Keck II
141220A	06:02:52	621915	CAHA (1.23m), GTC (10.4m), Liverpool (2m), Fermi (GBM), Konus-Wind
141205A	08:05:17	620534|Ground Analysis|20444	Fermi (GBM)
141102A	12:51:40	617313|Ground Analysis	Fermi (GBM & LAT), Konus-Wind
141031A	07:18:26	617110	Fermi (GBM)
141022A	01:27:42	616061	MPG (2.2m), Fermi (GBM)
141005A	05:13:06	614415	Palomar (60"), HJT (1.5), Fermi (GBM), Konus-Wind, MPG (2.2m)
141004A	23:20:54	614390	INTEGRAL, CAHA (1.23m), TNG (3.6m), Monte Agliale Observatory (0.5m), HJT (1.5m), NOT (2.5m), MPG (2.2m), Fermi (GBM), GTC (10.4m)
140919A	15:15:15	613160	Fermi (GBM), MPG (2.2m)
140907A	16:07:08	611933	Nanshan (35cm & 1m), Virtual Telescope (17"), MITSuME (50cm), Murikabushi (1m), GTC (10.4m), Fermi (GBM), T100 (1.0m), DCT (4.3m), Nayuta (2m), MASTER II, Zeiss-1000, CAHA (1.23m), AZT-33IK
140901B	06:17:24	611389|Ground Analysis|20416	Fermi (GBM)
140828A	06:54:14	610953	Fermi (GBM)
140818B	18:44:16	609885	OSN (1.5m), MPG (2.2m), Fermi (GBM), Tautenburg (1.34m)
140817A	07:02:01	609736	Fermi (GBM), Konus-Wind
140716A	10:27:57.3	604792|Ground Analysis|20390	MPG  (2.2m), Fermi (GBM), Konus-Wind
140713A	18:43:45	604232	Fermi (GBM), CARMA @ 85 GHz, AMI @ 15 GHz
140709B	15:15:45	603866	Fermi (GBM)
140709A	01:13:41	603810	OSN (1.5m), Fermi (GBM), Virtual Telescope (17"), GTC (10.4m), HJT (1.5m), AMI @ 15 GHz
140706A	19:33:33	603587	MPG (2.2m), Fermi (GBM)
140703A	00:37:17	603243	BOOTES-2 (0.6m), OSN (1.5m), GTC (10.4m), Monte Agliale Observatory (0.5m), Fermi (GBM), HJT (1.5m), Palomar (60"), CARMA @ ~93 GHz, VLA @ 19 GHz, Abastumani Observatory (0.7m), AMI @ 15 GHz
140610A	16:31:29	601259	Konus-Wind, Fermi (GBM)
140512A	19:31:49	598819	MASTER II, AZT-33IK, NOT (2.5m), MPG (2.2m), TNT (0.8m), Fermi (GBM), Konus-Wind
140506A	21:07:36	598284	VLT, Fermi (GBM), Konus-Wind
140502A	08:30:20	597841	Fermi (GBM)
140423A	08:31:53	596901	ISON-NM (0.4m), WIYN (3.5m), ROTSE-IIIb, Gemini-North, Kiso Observatory (1.05m), Fermi (GBM), Palomar (60"), KAIT (0.76m), MITSuME (50cm), Kanata Telescope (1.5m), Devasthal (1.3m), TNG (3.6m), Nayuta (2m), NOT (2.5m), HJT (1.5m), MPG (2.2m), RTT150, Konus-Wind, AZT-33IK, Himalayan Chandra Telescope (2m), TShAO (1m)
140408A	13:15:54	595141	Fermi (GBM)
140323A	10:23:11	592916	Fermi (GBM & LAT), Konus-Wind, Suzaku
140320A	02:12:45	592544	Fermi (GBM)
140311B	21:14:29	591392	Nanshan (1m), MASTER-II, Fermi (GBM)
140304A	13:22:31	590206	MASTER II, Nanshan (1m), Mondy (AZT-33IK), Khureltogot (ORI-40), NOT, GTC (10.4m), Fermi (GBM), HJT (1.5m), VLA @ 6 GHz, CARMA @ 3mm, Suzaku
140302A	08:12:58	589685	MPG (2.2m), Fermi (GBM)
140213A	19:21:37	586569	Perth Observatory (14"), MPG (2.2m), VLT, Fermi (GBM), Konus-Wind, Skynet R-COP/PROMPT
140209A	07:30:57	586071	Palomar (60"), Fermi (GBM), RAPTOR, Konus-Wind
140206A	07:17:20	585834	INTEGRAL, Searchlight Observatory Network (40cm), MASTER II, Mt. Nanshan (1m), VT-50 (0.5m), Fermi (GBM), T100 (1.0m), TNG  (3.6m), NOT, Virtual Telescope (0.43m), MITSuME (50cm), Liverpool (2m), Sayan Observatory (AZT-33IK), Discovery Channel Telescope (4.3m)
140118A	01:32:02	584136	Fermi (GBM)
140108A	17:18:42	583338	MASTER II, CAHA (1.23m), D50 (0.5m), BART (0.25m), AZT-33IK, Fermi (GBM), Suzaku, Konkoly
140102A	21:17:37	582760	Xinjiang (1m), CAHA (1.23m), Fermi (LAT & GBM), MAXI, MPG (2.2m), Konus-Wind, Palomar (60"), ARIES (1.3m), BOOTES-4 (0.6m), Mt. Lemmon (1m), MITSuME (50cm), Lulin (0.5m)
131229A	06:39:24	582374	Konus-Wind, Fermi (GBM), Suzaku
131202A	15:12:09	579982	Fermi (GBM), MPG (2.2m)
131128A	15:06:24	579683	Mt. Nanshan (1m), Kanata (1.5m), MPG (2.2m), Fermi (GBM)
131105A	02:04:44	576738	VLT, Konus-Wind, Fermi (GBM)
131031A	11:33:31	576277|Ground Analysis|20317	CAHA (1.23m), Konus-Wind, Fermi (GBM), HJT (1.5m), AZT-33IK
131024B	21:35:31	575754	Fermi (GBM), Suzaku
131004A	21:41:03	573190	NOT, TNG (3.6m), Liverpool (2m), Magellan (6.5m), MPG (2.2m), TNG (4m), Fermi (GBM)
131002A	06:54:21	572721	Faulkes  North (2m), ISON-NM (0.4m), Fermi (GBM)
130925A	04:11:24	571830	MPG/ESO (2.2m), MAXI/GSC, VLT/UVES, VLT/X-shooter, Fermi (GBM), HJT (1.5m), INTEGRAL, Konus-Wind, NuSTAR
130912A	08:34:57	570465	MPG/ESO (2.2m), Fermi (GBM), Palomar (60"), WHT, Konus-Wind
130907A	21:41:13	569992	MASTER II, NOT, Skynet (14"), HJT (1.5m), Tautenburg (1.34m), Fermi (LAT), VLA @ 24.5 GHz, iTelescope (T21, 0.43m), Konus-Wind, INTEGRAL, WSRT @ 4.9 GHz, AMI @ 15 GHz, AZT-22
130816A	01:46:55	566545	REM (60cm), MPG/ESO (2.2m), Fermi (GBM)
130803A	10:02:52	565263	Fermi (GBM)
130727A	16:45:19.52	564342	Faulkes South (2m), MPG/ESO (2.2m), Fermi (GBM), Konus-Wind
130716A	10:36:53	561974	Fermi (GBM)
130708A	11:43:03.7	560515|Ground Analysis|20286	Fermi (GBM)
130627A	08:55:03	559132	Fermi (GBM)
130623A	11:42:44.7	Ground Analysis|20284	Fermi (GBM), MPG/ESO (2.2m)
130612A	03:22:22	557976	Liverpool (2m), PAIRITEL (1.3m), PROMPT (16"), NOT (2.5m), Palomar (60"), HJT (1.5m), Sierra Nevada (1.5m), VLT, TAROT (25cm), ISON-NM (0.45m), iTelescope T21 (0.43m), Fermi (GBM)
130610A	03:12:13	557845	Liverpool (2m), PROMPT (16"), PAIRITEL (1.3m), Palomar (60"), VLT, Mt. Lemmon (1m), Fermi (GBM), ISON-NM (0.45m), iTelescope T21 (0.43m), CrAO, TAROT (25cm)
130609B	21:38:40	557828	Konus-Wind, MPG/ESO (2.2m), Fermi (GBM), Suzaku
130609A	03:05:08	557782	Fermi (GBM)
130528A	16:41:23	556870	Konus-Wind, Fermi (GBM)
130518A	13:55:07.4	556113	Fermi (GBM & LAT), Konus-Wind, HJT (1.5m), Palomar (60"), GTC (10.4m), Gemini-North, PdBI @ 86.7 GHz, Suzaku
130515A	01:21:17	555880	Fermi (GBM), Konus-Wind, Suzaku
130502A	17:50:30	554996	TNG, GTC (10.4m), IAC80 (0.82m), Fermi (GBM)
130427A	07:47:57	554620	ISON-NM (0.45m), Palomar 60", Faulkes North (2m), PAIRITEL (1.3m), MITSuME (50cm), Gemini-North, iTelescope (T11, T21, T30), Weihai (1m), HJT (1.5m), MAXI/GSC, GMG (2.4m), Zadko (100cm), Fermi (LAT, GBM), AZT-11, T100 (1.0m), RAPTOR, NOT (2.5m), VLA @ 5.8 GHz, SNUO (0.6m), SOAO (0.6m), BOAO, CARMA @ 85 GHz, INTEGRAL, Kanata (1.5m), Konus-Wind, ARIES Nainital (1.04m), Stansbury Park (0.35m), VLT, TNT (80cm), CARMA @ 93 GHz, Nayuta (2m), PROMPT (16"), CrAO RT-22 @ 36 GHz, SARA (0.9m),  Challis Observatory (0.4m), Murikabushi (1m), AGILE, GMRT @ 1390 GHz, ABT (10"), VLA @ 20-22 GHz, KAIT (0.76m), Murikabushi (1m), Pan-STARRS 1 (1.8 m), RHESSI, Tautenburg (1.43m), Sandvreten Observatory (0.45m), NOT, Watcher (40cm), LBT, Keck, William Herschel (4.2m), AZT-33IK, GTC (10.4m), HST, BTA (6m), Konkoly Observatory
130420B	12:56:31	553996	Fermi (GBM)
130420A	07:28:29	553977	Faulkes North (2m), ROTSE-III, PAIRITEL (1.3m), HJT (1.5m), iTelescope (T21), Weihai (1m), GMG (2.4m), GORT (14"), ISON-NM (0.45m), Fermi (GBM), RAPTOR, GTC (10.4m)
130306A	23:51:01	550457	Fermi (GBM), Konus-Wind
130305A	11:39:16	550329|Ground Analysis|20234	Fermi (GBM &LAT), Konus-Wind
130216B	18:58:12	548918|Ground Analysis|20233	Fermi (GBM), Suzaku
130216A	22:15:24	548927	Fermi (GBM)
130215A	01:31:30	548760	ROTSE-IIIb, Skynet, Lick Shane (3m), Palomar (60"), CARMA @ 93 GHz, REM, Harold Johnson Telescope (1.5m), TAROT, Xinglong (2.16m), iTelescope T11, GMG (2.4m), RAPTOR, Fermi (GBM), MITSuME (50cm), MPG/ESO (2.2m), Palomar (200"), Palomar (48"), Suzaku, GTC (10.4)
130206A	19:36:28	547918	Fermi (GBM)
121217A	07:17:47	542441	MPG/ESO (2.2m), Fermi (GBM)
121211A	13:47:02	541200	Faulkes North (2m), Keck I, MITSuME (50cm), Harold Johnson Telescope (1.5m), Fermi (GBM)
121202A	04:20:05	540255	Fermi (GBM)
121128A	05:05:37	539866	Faulkes North (2m), Gemini North, Konus-Wind, Fermi (GBM), RAPTOR, Sayan (AZT-33IK), MITSuME (50cm), ARIES Nainital (1.04m), Abastumani Observatory (0.7m)
121125A	08:32:27	539563	Mt. Lemmon (1m), Fermi (GBM)
121123A	10:02:41	539358	GMG (2.4m), Fermi (GBM), NOT (2.5m), BOOTES-4 (0.6m), IAC80 (0.82m), MPG/ESO (2.2m), Suzaku,  BOOTES-4/MET (0.6m), Abastumani Observatory (0.7m)
121031A	22:50:30	537195	Fermi (GBM)
121011A	11:15:30	535764	MITSuME (50cm), Xinglong TNT, MASTER II, TNG, VT-50 (0.5m), NOT (2.5m), Fermi (LAT & GBM), Nainital (1.04m), Suzaku
120922A	22:30:28	534394	MPG/ESO (2.2m), TAROT (25cm), Fermi (GBM)
120913B	23:55:58	533613	PROMPT, TAROT (25cm), REM, Pierre Auger Observatory (30cm), Fermi (GBM)
120913A	20:18:21	533568	Fermi (GBM)
120911A	07:08:33	533268	Fermi (GBM)
120909A	01:42:03	533060	PROMPT, MPG/ESO (2.2m), VLT, Konus-Wind, Fermi (GBM), TAROT (25cm)
120907A	00:24:23	532871	MASTER II, NOT, Fermi (GBM), OSIRIS/GTC, Santel-400AN (0.4m)
120817B	04:02:29	531259|Ground Analysis|20226	Fermi (GBM), Konus-Wind
120811C	15:34:52	530689	MASTER II (Amur), RTT150, GTC (10.4m), NOT (2.5m), MASTER II (Tunka), Fermi (GBM), ISON-NM (0.45m), ISON-Kitab (0.4m)
120729A	10:56:14	529095	Faulkes North (2m), Gemini-North, UKIRT, RAPTOR, IAC80, Fermi (GBM), KAIT (0.76m)
120712A	13:42:27	526351	MPG/ESO (2.2m), Gemini-South, VLT, Fermi (GBM)
120703A	17:25:22	525671	NOT (2.5m), Konus-Wind, Fermi (GBM)
120624B	22:19:51	525068	Fermi (GBM & LAT), Konus-Wind, Suzaku, VLT , Chandra, PdBI, VLA @ 5 GHz and 14 GHz
120521B	09:07:48	522586	Fermi (GBM)
120403B	20:33:56	519256	Fermi (GBM)
120326A	01:20:29	518626	TAROT (25cm), Skynet/Dolomiti, Liverpool (2m), IAC80 (82cm), Crni Vrh (60cm), Otto-Struve (2.1m), GTC (10.4m), AstroCamp Observatory (0.43m), Lulin (1m), GMG (2.4m), Observatoire de Maisoncelles (30cm), TNT, SMA @ 219 GHz, Mt. Lemmon (1m), Bassano Bresciano Observatory, PAIRITEL (1.3m), Fermi (GBM), Murikabushi (1m), CARMA @ 92.5 GHz, Suzaku, MITSuME (1m), EVLA @ 21.9 GHz, HCT (2m), Cima Rest (508mm)
120302A	01:55:39	Ground Analysis|20214	Fermi (GBM), RTT150 (1.5m), ESO/MPI (2.2m)
120212A	09:11:22	514709	Faulkes South, Higashi-Hiroshima Observatory (1.5m), MITSuME, NOT, GMG (2.4m), Fermi (GBM)
120119A	04:04:30.21	512035	PAIRITEL (1.3m), Liverpool (2m), MPI/ESO (2.2m), PROMPT, Gemini-South (8m), Lick (3m), MMT (6.5m), ISON-NM (0.45m), Konus-Wind, Fermi (GBM), CTIO (1.3m), REM (60cm), TAROT (25cm), GRT,  Mt. Lemmon (1m)
120102A	02:15:55	510922	Konus-Wind, Fermi (GBM)
111228A	15:44:43	510649	TNT, TAROT (25cm), MITSuME (50cm), Fermi (GBM), ARIES NainiTal (1.04m), Asiago Telescope (1.82m), NOT (2.5m), DAO (16"), IAC80 (82cm), GRAS 017 (17"), MASTER II, MPG/ESO (2.2m), MMT (6.5m), PAIRITEL (1.3m), Gemini-South, TNG, GMG (2.4m), T100 (1.0m), VLT, Palomar (60"), Liverpool (2m), PROMPT, CTIO (1.3), Kanata (1.5m), Konus-Wind, Mt. Lemmon (1m), Devasthal Fast Optical Telescope (1.3m), ISON-NM (0.45m), TNG (3.6m)
111117A	12:13:41	507901	NOT, Fermi (GBM), Chandra, GMG
111107A	00:50:24	507185	Skynet, MPI/ESO (2.2m), Gemini-South, VLT, Fermi (GBM)
111103A	10:35:13	506902	Fermi (GBM)
110921A	13:51:20	503652	TNT, Fermi (GBM), Sayan (AZT-33IK), MITSuME (50cm)
110818A	20:37:49	500914	VLT, Fermi (GBM)
110731A	11:09:30	458448	Faulkes (North & South), Fermi (LAT & GBM), NOT, Konus-Wind, Gemini-North, Mt John University Observatory (61cm), Suzaku
110709A	15:24:29	456939	Fermi (GBM), Konus-Wind, Konkoly (60/90cm), Suzaku
110625A	21:08:28	456073	Konus-Wind, Fermi (GBM & LAT), Suzaku
110610A	15:21:32	455155	Fermi (GBM), Suzaku
110420B	22:42:11	451794	Fermi (GBM)
110412A	07:33:21	451191	Fermi (GBM)
110402A	00:12:57	450545	Liverpool (2m), NOT, Konkoly Observatory, Konus-Wind, Anysllum Observatory (350mm), Sayan Observatory , Fermi (GBM), Mt. Lemmon (1m), Suzaku, Shajn
110318A	13:14:19	449542	Fermi (GBM)
110213A	05:17:29	445414	Palomar (60"), ROTSE-IIIb, Bok (2.3m), GRAS 011 (0.51 m), KAIT (0.76m), Sayan (AZT-33IK), Lightbuckets (0.61m), Taurus Hill Observatory, MITSuME (50cm), Konus-Wind, Fermi (GBM), RAPTOR, TNT, Yunnan Observatory (2.4m)
110207A	11:17:20	444912	Fermi (GBM), Suzaku
110128A	01:44:33	443861	NOT (2.5m), VLT, WHT, TAROT, TNG (3.6m), Fermi (GBM)
110119A	22:20:58	442978	PAIRITEL, Suzaku, Fermi (GBM)
110107A	21:15:51	Ground Analysis|20154	Fermi
110106B	21:26:17	441676	WHT, Gemini-South, Fermi (GBM)
110102A	18:52:25	441454	Fermi (GBM), MITSuME (50cm), Konus-Wind
101224A	05:27:13	440955	Fermi (GBM)
101219B	16:27:53	440635	Fermi (GBM), MPI/ESO (2.2m), EVLA @ 8.46 GHz, GROND, ESO-VLT
101213A	10:49:23	440285	Fermi (GBM), Konus-Wind, Suzaku
101201A	10:01:48	439595|439596|Ground Analysis|20152	MPI/ESO (2.2m), Fermi (GBM)
101024A	11:39:29.82	437016	GRAS06 RCOS-16, Fermi (GBM), Zadko (100cm), MPG/ESO (2.2m), AAVSO (280mm)
101023A	22:50:12	436981	Gemini-South, ESO/MPI (2.2m), Fermi (GBM), miniTAO (1.0m), Konus-Wind
101011A	16:58:35	436094	Fermi (GBM)
101008A	16:43:15	435903	Zeiss-1000, MPI/ESO (2.2m), MASTER-Net, Fermi (GBM)
100924A	03:58:08	434843	MPI/ESO (2.2m), Fermi (GBM), Suzaku
100906A	13:49:27	433509	MASTER, Faulkes North, Gemini-North, UKIRT, TLS (1.34m), Ondrejov (65cm), MITSuME (50cm), Virtual Telescope, Fermi (GBM), Murikabushi (1m), Konus-Wind, Konkoly Observatory, GRAS-007 (17"), RTT150, AMI Large Array @ 15 GHz, Zeiss-2000, Ondrejov (0.5m), GAS-250, AZT-14, Zeiss-600, Shajn Telescope, AZT-22
100816A	00:37:51	431764	TNG (3.6m), TAROT (25cm), McDonald Observatory (2.1m), Gemini-North, Calar Alto (1.23m), Lulin (1m), NOT, VLT, Fermi (GBM), GTC (10.4m), Konus-Wind
100814A	03:50:11	431605	ROTSE-IIIc, Magellan Clay Telescope, IAC80 (0.82m), MPI/ESO (2.2m), McDonald Observatory (2.1m), Fermi (GBM), Lulin (1m), NOT, Liverpool (2m), Konus-Wind, ISON-NM (0.45m), EVLA @ 4.5 and 7.9 GHz, Suzaku, AZT-22
100728B	10:31:55	430172	KAIT, Lick (1.0m), PROMPT (16"), ISON-NM Observatory (0.45m), MPI/ESO (2.2m), Fermi (GBM), NOT, VLT
100728A	02:18:24	430151	Fermi (GBM), MPI/ESO (2.2m), Konus-Wind, Suzaku
100727A	05:42:17	430094	Fermi (GBM)
100704A	03:35:08	426722	Fermi (GBM), Konus-Wind
100625A	18:32:28	425647	Konus-Wind, Fermi (GBM)
100619A	00:21:07	424998	Fermi (GBM)
100615A	01:59:03	424733	Fermi (GBM), Chandra
100522A	03:45:52	422783	Fermi (GBM), Suzaku, Konus-Wind
100504A	19:20:59	421124	Fermi (GBM)
100427A	08:31:55	Ground Analysis|20137	Fermi (GBM)
100401A	07:07:31.9	417974|Ground Analysis|20133	Fermi (GBM)
100212A	14:07:22	412081	NOT, Fermi (GBM), Mt. Lemmon (1.0m)
100206A	13:30:05	411412	Fermi (GBM)
100117A	21:06:19	382941	Gemini South, Magellan, Gemini North, Fermi (GBM)
100111A	04:12:49	382399	NOT, Fermi (GBM), AZT-22 (1.5 m)
091221	20:52:52	380311	ROTSE-III, ESO/MPI (2.2m), Fermi (GBM), PROMPT (16")
091208B	09:49:57	378559	BOOTES-3, MITSuME (50cm), Faulkes (2m), Gemini North, Fermi (GBM), NOT, ESO/MPI (2.2m), Keck I, Z-600, Gunma Astronomical Observatory (150cm), Xinglong TNT
091127	23:25:45	377179	Liverpool (2m), REM (60cm), ESO/MPI (2.2m), NOT, CAHA (1.23m), TAROT (25cm), Gemini-North, MASTER II, Fermi (GBM), Mt.Terskol (Z-600), Konus-Wind, PROMPT (16"), Suzaku, VLT, Zadko (1.0m), CTIO (1.3m), Gunma Astronomical Observatory (150cm)
091112	17:41:21	375659	Fermi (GBM), Suzaku
091102	14:34:38	374598	Fermi (GBM), Suzaku
091024	08:56:01	373674	Faulkes North (2m), RAS Observatory, Gemini-North, Xinglong TNT, Fermi (GBM), SRO (35cm), Super-LOTIS (0.6m), KAIT, Konus-Wind, Konus-RF, Yunnan Observatory (2.4m), SAO RAS, ZTE
091020	21:36:44	373458	MASTER II, NOT, Konus-Wind, Lick (40"), TLS (1.34m), VLA @ 8.46 GHz, Fermi (GBM), Dark Sky Observatory (14")
090927	10:07:16	370846	Zadko (1.0m), VLT, Faulkes South, Fermi (GBM)
090926B	21:55:48	370791	MAXI (GSC), VLT, Fermi (GBM)
090904B	01:24:18	361831	Fermi (GBM), ESO/MPI (2.2m)
090813	04:10:43	359884	Calar  Alto (1.23m), Palomar (60"), Liverpool (2m), Konus-Wind, Fermi (GBM), Suzaku, Shajn Telescope
090720	06:38:08	357811|Ground Analysis	Fermi (GBM), Gemini-North
090712	03:51:05	357072	Fermi (GBM)
090709B	15:07:42	356912	Fermi (GBM)
090708	03:38:15	356776	Fermi (GBM)
090621B	22:07:25	355359	Fermi (GBM)
090621A	04:22:43	355303	Fermi (GBM)
090618	08:28:29	355083	Palomar (60"), KAIT, ROTSE-IIIb, Lick (3m), Observatorio Astrofisico Guillermo Haro (2.1m), Faulkes North, Mt. Lemmon (1.0m), AGILE , SARA (0.9m), Liverpool, AMI Large Array @ 14.6 to 17.5 GHz, VLA @ 8.46 GHz, Fermi GBM, OAUV (0.4m), WSRT @ 4.9 GHz, Shajn, BOAO (15.5cm), SAO RAS (6m), RTT150, Konus-Wind, PAIRITEL (1.3m), AGILE , Suzaku, SARA (0.9m), HCT (2m), Sayan Observatory (1.5m), CORONAS-PHOTON
090516A	08:27:50	352190	Faulkes South (2m), NOT (2.5m), Zadko (1.0m), VLT, ESO/MPI (2.2m), Stardome (0.4m), Fermi (GBM), Konus-Wind
090510	00:23:00	351588	Fermi (LAT), Fermi (GBM), NOT, AGILE, Konus-Wind, La Silla (2.2m), VLT, Suzaku
090509	05:10:03	351525	ESO/MPI (2.2m), REM (60cm), CTIO (1.3m), Fermi (GBM)
090424	14:12:09	350311	ROTSE-IIIa, TNT, Fermi (GBM), Calar Alto (1.23m), Liverpool (2m), AAVSO (0.4m), TAOS (50cm), Gemini-South, ESO/MPI (2.2m), Taurus Hill Observatory (0.35m), Lulin (1m), WHT, Mt. Lemmon (1.0m), VLA @ 8.46 GHz, Suzaku, Sampurnanand (1.04m), Gao-Mei-Gu (2.4m), CTIO (1.3m), ICSP VLF, AZT-11
090423	07:55:19	350184	UKIRT, Gemini-North, MPI/ESO (2.2m), TNG (3.6m), Okayama Astrophysical Observatory (188cm), Fermi (GBM), Plateau de Bure Interferometer, Spitzer
090422	03:35:16	349931	Fermi (GBM)
090129	21:07:15	341504	Fermi
081226A	01:03:37	338177	Fermi GBM
081222	04:53:59	337914	REM (60cm), ESO/MPI (2.2m), Konus-Wind, Faulkes South, Gemini-South, Fermi, Gemini-North, MITSuME (50cm)
081221	16:21:11	337889	Gemini-North, Fermi (GBM), ESO/MPI (2.2m), VLA @ 8.46 GHz
081126	21:34:10	335647	Mt. Terskol (Z-600), Konus-Wind, Crni Vrh Observatory (60cm), Fermi
081121	20:35:32	335105	ROTSE-IIIc, ESO/MPI (2.2m), Magellan/Clay (6.5m), Fermi, CTIO (1.3m), Konus-Wind
081109A	07:02:06	334112	REM (60cm), Fermi, ESO/MPI (2.2m), TAROT (25cm)
081102	17:44:39	333427	Fermi
081101	11:46:31	333320	Fermi
081025	08:22:02	BATSS	Konus-Wind, Suzaku, Fermi
081012	13:10:23	331475	Fermi
081007	05:23:52	330856	REM (60cm), CTIO (1.3m), Faulkes North (2m), Gemini-South (8m), RAPTOR, PROMPT (16"), VLA @ 8.46 GHz, Fermi
080916A	09:45:20	324895	REM (60cm), VLT, Konus-Wind, Fermi (GBM), PROMPT (16'), ESO/MPI (2.2m), Suzaku
080905B	16:55:45	323898	VLT, Fermi (GBM), Watcher (40cm)
080905A	11:58:54	323870	NOT, VLT, Fermi (GBM)
